feature_set,model,regime_scheme,regime,n_months,mean_gross_return,mean_net_return,net_sharpe,avg_turnover,hit_rate,newey_west_tstat_mean_net,alpha,beta,alpha_tstat,model_name
return_only,elastic_net,dispersion,high_dispersion,48,0.0075139512022476,0.0049163617744954,0.2965649622672252,2.597589427752211,0.5416666666666666,1.137499125351357,0.0089195113062502,-0.4230960300431122,2.171184841618348,return_only__elastic_net
return_only,elastic_net,vol,high_vol,52,0.0067034447376095,0.0040682994848675,0.2622747183522079,2.635145252741999,0.5384615384615384,0.8135555795240501,0.0068227597961265,-0.2648073940691744,1.3472942489370738,return_only__elastic_net
return_only,ridge,vol,high_vol,52,0.0055334747678938,0.0031607651001433,0.1429354795930846,2.3727096677505157,0.4807692307692308,0.6086162989488885,0.0068891678521606,-0.3584399502023486,1.171021646569125,return_only__ridge
flow_compustat,elastic_net,period,2020-2024,59,0.0034687012550779,0.0013295898403674,0.1038184662006408,2.1391114147105563,0.5254237288135594,0.2152655889868309,0.0033975833463237,-0.1721431429377578,0.6002131194492959,flow_compustat__elastic_net
flow_compustat,ridge,period,2020-2024,59,0.0022983692092584,0.0003229423712764,0.0327558934917184,1.9754268379819708,0.4745762711864407,0.0681889118456399,0.0023099726755467,-0.1654036343462718,0.5122855227987776,flow_compustat__ridge
return_only,ridge,period,2017-2019,36,0.002188557707464,-0.0003199032494756,-0.0331645664705752,2.5084609569397336,0.5,-0.1075172907458629,0.0025400709188313,-0.2637690157224021,0.8071117534743543,return_only__ridge
flow_compustat,ridge,period,2017-2019,36,0.0016029797961463,-0.0006501954597738,-0.1000391134832454,2.253175255920241,0.5277777777777778,-0.2202771489656313,0.0008608359502177,-0.139359044622089,0.2643327912986379,flow_compustat__ridge
return_only,elastic_net,period,2020-2024,59,-0.0020796774465527,-0.0046612380910292,-0.30006492969315,2.581560644476557,0.4745762711864407,-0.8809152669818774,-0.0015264424472466,-0.2609454879979328,-0.2659534889725726,return_only__elastic_net
flow_compustat,elastic_net,dispersion,low_dispersion,47,-0.0003246264147232,-0.0026984991864806,-0.3475468826996954,2.373872771757425,0.5106382978723404,-0.6457791751590768,-0.0025855567322021,-0.0082303874037592,-0.5750902031579673,flow_compustat__elastic_net
flow_compustat,elastic_net,trend,bull,81,-0.001299000978668,-0.0035635549066539,-0.3613495952035811,2.264553927985854,0.4814814814814814,-0.8213601806116624,-0.0033735869137336,-0.012606646047936,-0.7807434690397833,flow_compustat__elastic_net
return_only,ridge,period,2020-2024,59,-0.0062425171891181,-0.0084070315882772,-0.3702731761289572,2.1645143991591116,0.423728813559322,-1.099805316527595,-0.003672312771337,-0.3941256951373783,-0.401753363355828,return_only__ridge
flow_compustat,elastic_net,vol,low_vol,43,-0.0025125829421269,-0.0048043663751919,-0.5666493354227292,2.2917834330649196,0.4418604651162791,-1.0426094573288125,-0.0037907654501543,-0.0780772692410317,-0.8841857126100005,flow_compustat__elastic_net
flow_compustat,ridge,trend,bull,81,-0.0025028429166256,-0.0046069248341949,-0.5883218909282573,2.104081917569283,0.4320987654320987,-1.4851220493170454,-0.0035710350727649,-0.0687436623732118,-1.1187508914978148,flow_compustat__ridge
return_only,elastic_net,trend,bull,81,-0.0044745348204453,-0.0071702353855907,-0.6605427565418486,2.69570056514532,0.4814814814814814,-1.6318896494778314,-0.0071082896929787,-0.0041108368254492,-1.4937220890269225,return_only__elastic_net
return_only,ridge,trend,bull,81,-0.0084357636385026,-0.0107067478025348,-0.7101222480627726,2.2709841640321944,0.4444444444444444,-1.8059159490532053,-0.010275754266445,-0.0286015705851679,-1.5756483332061937,return_only__ridge
flow_compustat,ridge,dispersion,low_dispersion,47,-0.0025318127749959,-0.0047250397945337,-0.7160043009268657,2.193227019537841,0.425531914893617,-1.8132735729257203,-0.0042978574491291,-0.0311298016072493,-1.4233153850278777,flow_compustat__ridge
return_only,elastic_net,vol,low_vol,43,-0.005476375131185,-0.0081624285963774,-0.7791648267841494,2.686053465192415,0.4651162790697674,-1.6253370929851665,-0.0055227573464022,-0.203332808604628,-1.1126390509389583,return_only__elastic_net
return_only,elastic_net,dispersion,low_dispersion,47,-0.0052675459998542,-0.007987621736317,-0.8644260641572333,2.720075736462801,0.4680851063829787,-1.2223407819605192,-0.0084834293142192,0.0361306868167682,-1.2243886229437415,return_only__elastic_net
flow_compustat,ridge,vol,low_vol,43,-0.0047206139983064,-0.0068329393826465,-1.1196164942272728,2.1123253843400516,0.3488372093023256,-2.3861021170010033,-0.0070158461246335,0.0140892323471328,-2.3116921943792694,flow_compustat__ridge
return_only,ridge,vol,low_vol,43,-0.0134246773167382,-0.0156253759510915,-1.1579817765632792,2.200698634353283,0.4186046511627907,-1.9927628072348684,-0.0106853190150907,-0.3805305874635796,-1.4717035682616435,return_only__ridge
return_only,ridge,dispersion,low_dispersion,47,-0.0154816940580619,-0.0177785308576522,-1.333723086299466,2.2968367995902805,0.4042553191489361,-1.9485460506018304,-0.018024723348769,0.017940637032656,-1.8342595485622737,return_only__ridge
